"SMILES", "Ki"
"CCCCCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1","160.0"
"OC(COc1cccc2[nH]c3ccccc3c12)CN1CCC(CC1)N1C(=O)c2cccc3cccc(C1=O)c23","57.0"
"COc1ccc(cc1O)[C@@H](Cc1ccccc1)NC[C@@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1","1070.0"
"COc1ccc(cc1OC)[C@@H](Cc1ccccc1)NC[C@@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1","66.0"
"CN1CCC(CC1)NCC(O)COc1ccccc1CC=C","2.4"
"Clc1ccc(cc1)N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1","100000.0"
"O[C@@H](CNCCc1ccc(Oc2ccccc2)cc1)c1ccc(O)c(NC=O)c1","35.4"
"C[C@H](Cc1c[nH]c2c(OCC(O)=O)cccc12)NC[C@H](O)c1cccc(NS(=O)(=O)c2cccs2)c1","160.0"
"CC(C)NC[C@H](O)COc1ccccc1CC=C","0.9333"
"OCc1cc(ccc1O)C(O)CNCCc1ccc(Nc2ccc3ccccc3c2)cc1","316.23"
"NC[C@H](O)c1ccc(O)c(O)c1F","2000000.0"
"CC(C)Oc1ccc(Nc2ccc(CCNCC(O)c3ccc(O)c(CO)c3)cc2)cc1","100.0"
"COc1ccc2c(c1)[nH]c1c(C)nccc21","10000.0"
"OC(CNC1CCN(CC1)c1ncnc2scc(-c3ccccc3)c12)COc1cccc(F)c1","30.0"
"OCc1cc(OCC(O)CNC2CCN(CC2)c2ncnc3ccsc23)ccc1O","165.0"
"OC(CNC1CCN(CC1)c1ncnc2scc(-c3ccc(F)cc3)c12)COc1ccc(O)cc1","175.0"
"COc1ccc(cc1OC)[C@H](Cc1ccccc1)NC[C@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1","820.0"
"CC(C)c1ccc(C)cc1OCC(O)CN1CCN(CCN2C(=O)c3cccc4cccc(C2=O)c34)CC1","110.0"
"CC(C)c1ccccc1OCC(O)CN1CCC(CC1)N1C(=O)c2cccc3cccc(C1=O)c23","13.0"
"OC(COc1ccc2[nH]ccc2c1)CN1CCC(CN2C(=O)c3cccc4cccc(C2=O)c34)CC1","1260.0"
"OCc1cc(OCC(O)CNC2CCN(CC2)c2ncnc3sccc23)ccc1O","440.0"
"Cc1c(sc2ncnc(N3CCC(CC3)NCC(O)COc3ccc(O)cc3)c12)-c1ccccc1","270.0"
"OC(CNC1CCN(CC1)c1ncnc2scc(-c3ccccc3)c12)COc1cc(O)ccc1C(O)=O","517.0"
"O[C@@H](CNCCc1ccc(OCCCc2ccccc2)cc1)c1ccc(O)c(NC=O)c1","5.9"
"C\\C(\\C=C\\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O",
"Cn1cc(C(=O)C(=O)N[C@@H]2CN3CCC2CC3)c2ccccc12","100000.0"
"COc1cc(cc(OC)c1OC)C(=O)NC1CCCNC1",
"COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1","2.6"
"CCCCC[C@@H](C)NC[C@H](O)c1cc(O)cc(O)c1","9275.0"
"CCCCC[C@H](C)NC[C@@H](O)c1cc(O)cc(O)c1","56420.0"
"CO[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]2[C@]2(C)CC[C@@H](O2)[C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@H](O3)[C@@H](C)[C@@H]3O[C@](O)(CC(O)=O)[C@@H](C)[C@H](OC)[C@H]3OC)O2)[C@H]2O[C@](C)(O)[C@H](C)C[C@@H]2C)O[C@@H](C)[C@@H]1OC",
"[O-][N+](=O)c1ccc(\\C=N\\N2CC(=O)NC2=O)o1",
"CN1CCC[C@H]1c1cccnc1",
"FCc1nc(cs1)C#Cc1cc(F)cc(c1)C#N","10000.0"
"O=C1COc2ccc(OCCNCCCOc3cccc4[nH]ccc34)cc2N1","1000.0"
"CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c2ccccc2)C(=O)C1=O",
"CNCCC=C1c2ccccc2CCc2ccccc12",
"COC1=CC(=O)OC1(O)C(C)=C",
"C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c12)C(C)=O",
