"SMILES", "Ki"
"CCn1cncc1-c1c[nH]c2ccc(F)cc12","2344.0"
"CC(=O)c1c(C)cc2oc(=O)cc(C)c2c1OCCCCN1CCN(CC1)c1ccncc1","308.0"
"CN1CCN(CC1)c1nc(N)nc(CS(=O)(=O)c2ccccc2Cl)n1","1000000.0"
"CC(=O)c1c(C)cc2oc(=O)cc(C)c2c1OCCCCN1CCN(CC1)c1cnccn1","4.8"
"COc1ccc(cc1)-c1c2CCCCn2c(=O)n(CCCCN2CCCC(C2)c2c[nH]c3ccc(OC)cc23)c1=O","52.0"
"Clc1ccc(cc1)S(=O)(=O)NC1CCN(CCOc2ccccc2)CC1","3198.0"
"Clc1cccc(c1)S(=O)(=O)NC1CCN(CCOc2ccccc2)CC1","1428.0"
"Clc1ccccc1-c1c2CCCCn2c(=O)n(CCCCN2CCCC(C2)c2c[nH]c3ccccc23)c1=O","8.0"
"Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1","221.0"
"Ic1ccccc1OCCN1CCC(CC1)NS(=O)(=O)c1ccccc1","619.0"
"FC(F)(F)c1nc2c(cccc2[nH]1)N1CCN(CCOc2cccc3[nH]c(=S)[nH]c23)CC1","2.8"
"CCCCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1","885.0"
"COc1cccc(CN2CCN(CCOc3cccc4nc(C)ccc34)CC2)c1","12.59"
"N#Cc1ccc2[nH]cc([C@H]3CC[C@@H](CC3)N3CCN(CC3)c3cccc4cccnc34)c2c1","2.9"
"CC(COc1cccc2nc(C)ccc12)N1CCC(Cc2ccc3OCC(=O)Nc3c2)CC1","50.12"
"Cc1ccc2c(OCCN3CCC(Cc4ccc5OCC(=O)Nc5c4)CC3)cccc2n1","2.512"
"COc1ccccc1N1CCN(CCCCN2C(=O)C[C@@H](NC(=O)CC3CC4CCC3C4)C2=O)CC1","4.0"
"CCCN1CCc2cccc-3c2C1Cc1cccc(O)c-31","66.0"
"CCCS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1","1.1"
"CCC(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1","1.5"
"O=C(N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1)N1CCOCC1","15.0"
"COc1ccc(C)cc1N1CCN(CCn2cnc3sc4CN(C)CCc4c3c2=O)CC1","5.6"
"OC(COc1ccccc1-c1ccccc1)CN1CCC(CC1)NS(=O)(=O)c1ccc(F)cc1","1322.0"
"C[C@@H](CN1CCN(CC1)c1cc(F)c(F)cc1F)N1C(=O)CC2(CCCC2)CC1=O",
"Fc1ccc(cc1)C(=O)NCCCCN1CCN(CC1)c1cccc(Cl)c1Cl","60.0"
"O=C1NCN(c2ccccc2)C11CCN(CCCCc2nc3ccccc3s2)CC1","194.98"
"CN1C(=O)COc2ccc(CN3CCN(CCOc4cccc5nc(C)ccc45)CC3)c(F)c12","3.162"
"FC(CCNC(=O)c1cc2ccccc2[nH]1)CN1CCN(CC1)c1cccc(Cl)c1Cl","223.0"
"COc1ccccc1N1CCN(CCN(C(=O)C23CCC(I)(CC2)C3)c2ccccn2)CC1","0.87"
"O=C1N(CCCCN2CCC3CCCCC3C2)C(=O)c2ccccc12","533.0"
"OC(CCN1CCN(CC1)c1ccccc1Cl)c1ccccc1","114.82"
"CCN(CCCc1c[nH]c2ccc(F)cc12)C1COc2ccc3CNC(=O)c3c2C1","2.0"
"O=C1NCc2ccc3OCC(Cc3c12)NCCCc1c[nH]c2ccc(cc12)C#N","36.0"
"COc1cccc2C(CN3CCC4(CC3)N(CNC4=O)c3ccccc3)CCOc12","1000.0"
"COc1ccccc1N1CCN(CCN(C(=O)C23CCC(I)(CC2)CC3)c2ccccn2)CC1","1.11"
"O=C1N(CCCCN2CCc3ccccc3C2)C(=O)c2ccccc12","499.0"
"Cl.Fc1ccc2CC(CCN3CCc4ccccc4C3)Cc2c1","193.0"
"CC(=O)Nc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc23)CC1","2500.0"
"CCCCc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc23)CC1","60.0"
"COc1cccc(CCc2ccccc2OCc2cccnc2)c1","5000.0"
"O=C1CCc2ccc(OCCCCN3CCN(CC3)c3cccc4ccccc34)nc2N1","3.7"
"Fc1ccc(cc1)C(=O)NC1CCc2cc(CCN3CCN(CC3)c3nsc4ccccc34)ccc12","7.8"
"C(CCc1c[nH]c2ccccc12)CN1CCc2ccccc2C1","1698.24"
"Cl.Fc1ccc(CCCCN2CCc3ccccc3C2)cc1","141.25"
"COc1ccc2ccc(NCCCCCN3CCN(CC3)c3ccccc3OC)nc2c1","0.5"
"O=C(Cc1ccccn1)Nc1cccc(CCN2CCN(CC2)c2ccccc2)c1","4.73"
"CC(C)Oc1ccccc1N1CCN(Cc2cccc(c2)C(=O)N2CCCCC2)CC1","4.0"
"COc1c(Cl)ccc2N=C(NCC(F)F)NC(C)c12","348.0"
"Clc1cc2NC(=O)Cc2cc1CCN1CCN(CC1)c1nsc2ccccc12","1.585"
"C[C@H]1Oc2c(NC1=O)cccc2N1CCN(CCCc2c[nH]c3ccc(F)cc23)CC1","5.012"
"CN1CCC(CC1)c1c[nH]c2ccc(NC(=O)C3CCCC3)nc12","2000.0"
"Clc1cccc2cc(ccc12)S(=O)(=O)Nc1ccc2nccc(N3CCNCC3)c2c1","158.49"
