KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_1417,0,0,0,0,0,[!#1]C(=O)C(=N[OH])C(=O)O[CH2][CH3]
KLEK_1418,4,8,2,52,1,[!#1]C(=O)C(=O)[!#1]
KLEK_1419,0,0,0,0,0,[!#1]C(=O)C(Cl)(Cl)Cl
KLEK_1420,0,0,0,0,0,[!#1]C(=O)C(F)(F)C(F)(F)F
KLEK_1421,4,3,0,15,2,[!#1]C(=O)C(F)(F)F
KLEK_1422,0,0,0,0,0,[!#1]C(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F
KLEK_1423,0,0,0,0,0,[!#1]C(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
KLEK_1424,0,0,0,5,0,[!#1]C(=O)C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3
KLEK_1425,0,0,0,0,0,[!#1]C(=O)C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2][CH]([CH2]2)[CH2][CH2]3
KLEK_1426,16,8,1,41,5,[!#1]C(=O)c1[cH][cH][cH][cH][cH]1
KLEK_1427,47,54,1,144,17,[!#1]C(=O)c1[cH][cH][cH][cH]c1[!#1]
KLEK_1428,2,6,1,4,1,[!#1]C(=O)c1[cH][cH][cH][cH]c1[CH3]
KLEK_1429,0,0,0,0,0,[!#1]C(=O)c1[cH][cH][cH][cH]c1[N+](=O)[O-]
KLEK_1430,0,0,0,1,0,[!#1]C(=O)c1[cH][cH][cH][cH]c1[OH]
KLEK_1431,0,0,0,2,0,[!#1]C(=O)c1[cH][cH][cH][cH]c1Br
KLEK_1432,0,0,0,0,0,[!#1]C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]
KLEK_1433,0,0,0,0,0,[!#1]C(=O)c1[cH][cH][cH][cH]c1C(=O)[OH]
KLEK_1434,0,0,0,17,1,[!#1]C(=O)c1[cH][cH][cH][cH]c1Cl
KLEK_1435,0,0,0,2,1,[!#1]C(=O)c1[cH][cH][cH][cH]c1F
KLEK_1436,0,0,0,2,0,[!#1]C(=O)c1[cH][cH][cH][cH]c1I
KLEK_1437,0,0,0,5,1,[!#1]C(=O)c1[cH][cH][cH][cH]n1
KLEK_1438,9,10,4,122,7,[!#1]C(=O)c1[cH][cH][cH]c([!#1])[cH]1
KLEK_1439,1,0,0,0,0,[!#1]C(=O)c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KLEK_1440,0,0,0,0,1,[!#1]C(=O)c1[cH][cH][cH]c([cH]1)C(=O)[!#1]
KLEK_1441,0,0,0,1,4,[!#1]C(=O)c1[cH][cH][cH]c([cH]1)S(=O)(=O)[!#1]
