"SMILES", "Ki"
"CS(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1","8.9"
"Clc1ccc(cc1)N1CCN(Cc2cccn3nccc23)CC1","21000.0"
"Cl.Cl.COc1cccc2C(CCCc12)NCCN1CCN(CC1)c1ccc(Cl)cc1","3180.0"
"O=C(CCCN1CCN(CC1)c1ccccc1)c1nc2ccccc2s1","10000.0"
"Cc1cc(Oc2nccc3occc23)ccc1-c1c(C)ncc2nccn12","8300.0"
"Cc1cccc(N2CCN(CCc3ccc4[nH]nnc4c3)CC2)c1C","51.29"
"COc1ccc2CN3CCc4cc(OC)c(O)cc4[C@@H]3Cc2c1","346.76"
"COc1ccccc1N1CCN(CCCCNc2ccc3ccccc3n2)CC1","5.6"
"Fc1cccc2N(CCCN3CCC(CC3)n3c4ccccc4[nH]c3=O)C(=O)CCc12","60.0"
"Cc1nnn(C2CCN(Cc3ccccc3)CC2)c1-c1ccccc1","1200.0"
"FC(F)(F)c1cccc(c1)N1CCN(CCCCNc2ccc(cn2)-c2ccccc2)CC1","1.1"
"CCCN(CCC)C1CCC(CC1)=CC#N","20000.0"
"O=S(=O)(N1CCC[C@@H]1CCN1CCN(CC1)c1cccc2[nH]ccc12)c1cncc2ccccc12","3.0"
"COc1cccc(c1)C(=O)NCCCCN1CCN(CC1)c1ccc(Cl)cc1","2350.0"
"CC1(C)CC(=O)N(CCCCN2Cc3ccccc3C2)C(=O)C1","2933.0"
"CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1cnc[nH]1)C(O)=O","1000.0"
"CNC1(CCCCC1=O)c1ccccc1Cl",
"O=C(CCOCCN1CCN(CC1)c1ccccc1-c1ccccc1)NCc1ccncc1","2450.0"
"Cl.Clc1ccc2sc(CCCCN3CCc4c(Cl)cccc4C3)nc2c1","853.0"
"CCC(C)Oc1c(O)cc(Br)c2C[C@@H]3N(CCc4cc(OC)c(O)cc34)Cc12","331.0"
"N#Cc1ccc2CNCCc2c1","53800.0"
"Fc1cccc(CCCN2C3CCC2CC3)c1","10000.0"
"CC(C)CS(=O)(=O)n1ccc2c(cc(nc12)N1CCN(C)CC1)-c1cc(C)sc1C","640.0"
"Nc1nc2cc3CCN(Cc4cccnc4)CCc3cc2s1","200.0"
"C[C@@H](N)[C@H]1CC[C@@H](CC1)C(=O)Nc1ccncc1",
"O=C1COc2ccccc2N1CCCN1CCC(CC1)n1c2ccncc2[nH]c1=O","1350.0"
"Cl.CCCN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31","0.11"
"CC(C)CS(=O)(=O)n1ccc2c(cc(nc12)N1CCN(C)CC1)-c1ccc2[nH]ccc2c1","382.0"
"Fc1cccc(c1)S(=O)(=O)NCCN1CCC(=CC1)c1c[nH]c2ccc(Cl)cc12","2.4"
"Clc1ccc(cc1)N1CCCN(CCCc2nc3ccccc3s2)CC1",
"Clc1cccc(c1)S(=O)(=O)NCCN1CCC(=CC1)c1c[nH]c2ccc(Cl)cc12","23.0"
"Cc1cccc(c1)S(=O)(=O)NCCN1CCC(=CC1)c1c[nH]c2ccc(F)cc12","20.0"
"Fc1cccc(c1)S(=O)(=O)NCCCCN1CCC(=CC1)c1c[nH]c2ccc(Cl)cc12","1.8"
"Clc1cccc(c1)S(=O)(=O)NCCCCN1CCC(=CC1)c1c[nH]c2ccc(Cl)cc12","1.0"
"Fc1ccc(cc1)S(=O)(=O)NCCCN1CCC(=CC1)c1c[nH]c2ccc(Cl)cc12","3.5"
"Fc1ccc2C(=O)C(CCN3CCCN(CC3)c3ccc(Cl)cc3)Cc2c1","1021.0"
"Fc1ccc(\\C=C\\C(=O)N[C@H]2CC[C@H](CCN3Cc4ccc(cc4C3)C(F)(F)F)CC2)cc1","398.11"
"Cl.CS(=O)(=O)c1ccc2CCN(CC[C@H]3CC[C@@H](CC3)NC(=O)\\C=C\\c3cc(F)cc(F)c3)CCc2c1","251.19"
"NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12","202.0"
"Nc1cccc(n1)-c1ccc(CCN2CCN(CC2)c2cccc3cccnc23)cc1","11.0"
"CN1CCN(CC1)C1=Nc2cccnc2Nc2ccc(C)cc12","5940.0"
"COc1ccccc1N1CCCN(CCCCNC(=O)c2cccc(OC)c2OC)CC1","152.0"
"OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1","2.5"
"COc1ccccc1N1CCC2(CCN(CCCSc3nnc(-c4ccccc4)n3C)C2)CC1","21098.0"
"CC(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2cccc3OCOc23)CC1","136.57"
"C[C@@H](NC(=O)CCCCCN1CCN(CC1)c1ccccc1-c1ccccc1)c1ccccc1","116.0"
"Cl.Clc1cccc2CCN(CCCCc3nc4ccccc4s3)Cc12","269.15"
"COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1","13000.0"
"COc1ccccc1OCCNC[C@@H](O)c1ccc(O)c(O)c1","350.0"
"OC1(CCN(CCCCc2nc3ccccc3s2)CC1)c1ccc(Cl)cc1","201.0"
"Cl.OC1(CC2CCC(C1)N2CCCCc1nc2ccccc2s1)c1ccc(Cl)cc1","44.67"
"CCn1cncc1-c1c[nH]c2ccc(cc12)C(=O)OC","10000.0"
"CCCN1CCC(CC1)n1c2ccc(Cl)cc2[nH]c1=O","456.0"
"O=C1NCN(c2ccccc2)C11CCN(CCCCc2nc3ccccc3s2)CC1","24.0"
"OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1","6.31"
"Cc1ccc2nc(CNCCCOc3ccccc3)cc(O)c2c1","10.0"
"CCCN1CCC(CC1)c1cn(C)c2ccc(F)cc12","19.0"
"Cl.OC1(CC2CCC(C1)N2CCCCC(=O)c1nc2ccccc2s1)c1ccc(Cl)cc1","180.0"
"COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccn3n2)CC1","99.0"
"CCCc1c(nnn1Cc1ccccc1)C(=O)NCCCCN1CCN(CC1)c1cccc(Cl)c1Cl","6.4"
"O=c1ccc2ccc(OCCCCN3CCN(CC3)c3cccc4sccc34)cc2[nH]1","0.51"
"O=c1ccc2ccc(OCCCCN3CCN(CC3)c3cccc4sccc34)cc2[nH]1","0.5129"
"COc1ccccc1N1CCN(CCCCNc2nccc3ccccc23)CC1","1.0"
"CN([C@@H]1CCc2c(CC(O)=O)c3ccccc3n2C1)S(=O)(=O)c1ccc(F)cc1","3746.0"
"CCOc1cccc(c1)N1CCN(CCCCOc2ccc3CCC(=O)Nc3c2)CC1","21.0"
"Cc1ncoc1-c1nnc(SCCCN2CC3CC3(C2)c2ccc(c(F)c2)C(F)(F)F)n1C","630.96"
"Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(cc3)C(F)(F)F)C2)n1C","213.8"
"Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccccc3C(F)(F)F)C2)n1C","1584.89"
"Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(F)cc3)C2)n1C","426.58"
"OCC(=O)N[C@H]1CC[C@H](CCN2CCC(CC2)c2cccc3OCCc23)CC1","570.9"
"COc1ccccc1N1CCC2(CCN(CCCCNC(=O)c3ccc(cc3)N(C)C)CC2)CC1","3762.0"
"CC(C)(O)C(=O)N[C@H]1CC[C@H](CCN2CCC(CC2)c2cccc3OCOc23)CC1","406.7"
"OC(=O)C(O)=O.COc1ccccc1N1CCN(CCCCCOc2ccc3CCC(=O)Nc3c2)CC1","7.3"
"OC1(CC(=O)N[C@H]2CC[C@H](CCN3CCN(CC3)c3cccc4OCOc34)CC2)CCC1","94.57"
"CCC(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nccc3OCCc23)CC1","709.4"
"CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1)C(=O)Cc1ccc(Cl)c(Cl)c1",
"Cc1ccc2c(cccc2n1)-c1nnc(SCCCN2CC3CC3(C2)c2ccc(cc2)C#N)n1C","6309.57"
"C[C@H]1C=C(CCN1C)C1=Nc2ccccc2Nc2ccc(C)cc12","819.0"
"CCc1cccc(N2CCN(CC(F)CCNC(=O)c3cc4ccccc4o3)CC2)c1Cl","328.0"
"CN1CCc2[nH]c3ccccc3c2Cc2ccccc2CC1","55.1"
"COc1cccc(c1)C12CC1CN(CCCSc1nnc(-c3ocnc3C)n1C)C2","398.11"
"COc1c(ccc2C[C@H]3N(C)CCc4cccc(c34)-c12)C(C)=O","2980.0"
"CN1CCN(CC1)C1Cc2ccccc2Sc2ccc(cc12)-c1ccncc1","1.1"
"OC(=O)C(O)=O.COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1","50.0"
"Cc1ncoc1-c1nnc(SCCCN2CCC3(CC3C2)c2ccccc2)n1C","3162.28"
"Cn1c(SCCCN2CCC3CC3(CC2)c2ccc(cc2)C(F)(F)F)nnc1-c1ccnnc1","398.11"
"COc1cccc2c1CCCC21CCN(CCCSc2nnc(-c3ocnc3C)n2C)C1","398.11"
"O=C1NCc2ccc(OCCCN3CCN(CC3)c3cccc4CCCCc34)cc12","2.63"
"Cc1c2C(=O)NCc2ccc1OCCCN1CCN(CC1)c1cccc2ccccc12","6.81"
"CCCCN1CCN(CC1)c1cc(CC)cc(Cl)c1OC","29.8"
"OC(=O)C(O)=O.COc1ccccc1N1CCN(CCCCNC(=O)\\C=C\\c2ccc(Cl)c(Cl)c2)CC1","23.0"
"F[C@@H]1CCNC[C@H]1c1c([nH]c2cc(F)ccc12)-c1cccc2ccccc12","1400.0"
"Cn1c(nc2c(CN3CCN(CC3)c3ccccc3)c[nH]c2c1=O)N1CCOCC1","730.0"
"Cc1nc2cc(C)nc(C)n2c1CN1CCN(CC1)c1ccccn1","10000.0"
"COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccn3n2)CC1","310.0"
"Cn1ccc2c(cccc12)S(=O)(=O)N[C@H]1CCN(CCCc2noc3ccccc23)C1","38.02"
"COc1ccc2cc(ccc2c1)S(=O)(=O)N[C@H]1CCN(CCCc2noc3ccccc23)C1","56.23"
"CCOCCOCc1ccn2ncc(C(=O)NCCCN3CCN(CC3)c3ccccc3OC)c2c1","67.0"
"COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3o2)CC1","110.0"
"CCOCCOc1cccc(c1)C(=O)NCCCCN1CCN(CC1)c1ccccc1OC","44.0"
"COc1ccccc1N1CCN(CCCNC(=O)c2cccc(OCCOCCOCCOCCOc3cccc(c3)C(=O)NCCCN3CCN(CC3)c3ccccc3OC)c2)CC1","6.4"
"COc1ccccc1N1CCN(CCCCNC(=O)c2cccc(OCCOCCOCCOCCOc3cccc(c3)C(=O)NCCCCN3CCN(CC3)c3ccccc3OC)c2)CC1","1.8"
"CCOCCOCc1ccn2ncc(C(=O)NCCCCN3CCN(CC3)c3ccccc3OC)c2c1","12.0"
"OC(=O)C(O)=O.COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3n2)CC1","53.2"
"COc1ccccc1N1CCC2(C1)CCN(CCCSc1nnc(-c3ccccc3)n1C)CC2","6168.0"
"OC(=O)C(O)=O.COc1ccccc1N1CCN(CCCCNC(=O)\\C=C\\c2ccccc2Cl)CC1","15.0"
"C[C@H]1C[C@H](C)N1C(=O)[C@H]1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34","110.0"
"O=C1COc2ccccc2N1CCCN1CCC(CC1)n1c2cccnc2[nH]c1=O","650.0"
"COc1c(cc(Br)c2ccccc12)C(=O)NCCN1CCN(CC1)c1cccc(Cl)c1","703.0"
"Fc1ccc(CCN2CCC(F)(CC2)S(=O)(=O)c2ccc(cc2)N2CCC2)c(F)c1","2000.0"
"Cc1ccc(cc1)C(=O)c1ccc(CC(O)=O)n1C",
"Fc1ccc(CCN2CCC(F)(CC2)S(=O)(=O)c2ccc(Cl)cc2)c(F)c1","1000.0"
"CC1Cc2ccccc2N1C(=O)CN1CCN(Cc2cc(C)ccc2C)CC1","119.0"
"O[C@@H](CCCN1CCN(CC1)c1ccccn1)c1ccc(F)cc1","101.0"
"Cc1ccc(OCCNCCCOc2ccccc2)cc1C","144.54"
"CC[C@@H]1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1","219.0"
"COc1ccccc1N1CCN(CCCCNC(=O)c2ccccc2)CC1","130.0"
"CN(CCN1CCN(C1=O)c1cccc(Cl)c1)Cc1cc(C)no1","158.49"
"CN(CCN1CCN(C1=O)c1ccccc1)C[C@@]12CC[C@@H](CC1)C2(C)C","199.53"
"Clc1cccc(N2CCN(C\\C=C\\CNC(=O)c3ccc(cc3)-c3ccccn3)CC2)c1Cl","106.0"
"Cl.CCCN(CCCCNC(=O)c1ccc(cc1)-c1ccccn1)CC1CC1c1cc(F)ccc1OC","3144.0"
"OC(CCc1ccccc1)CN1CCC2(CC1)CCc1cc(F)ccc1O2","1100.0"
"CC(=O)c1ccc(cc1)-c1nnc(SCCCN2CCOC(C2)c2ccc(cc2)C(F)(F)F)n1C","19952.62"
"Cn1c(SCCCN2CCOC(C2)c2ccc(cc2)C(F)(F)F)nnc1-c1ccc(cc1)S(N)(=O)=O","31622.78"
"Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(F)cc3C(F)(F)F)C2)n1C","3801.89"
"Cl.CCCN(CCCCNC(=O)c1ccc2ccccc2c1)CC1CC1c1ccc(F)cc1","5623.0"
"Cl.CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)CC1CC1c1ccc(cc1)C(F)(F)F","5000.0"
"COc1ccccc1N1CCN(CCCCN2CCc3cc(ccc3C2=O)-c2ccncc2)CC1","7.1"
"Cl.OC1(CC2CCC(C1)N2CCCCc1nc2ccccc2s1)c1ccc(Cl)cc1","44.0"
"Cc1cc2c(Nc3ccccc3N=C2N2CC[N+](C)([O-])CC2)s1","119.0"
"COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1","3981.07"
"O=C1NCN(c2ccccc2)C11CCN(CCCCc2nc3ccccc3s2)CC1","23.99"
"COc1ccccc1N1CCN(CCCCNC(=O)\\N=N\\c2ccc(F)cc2)CC1","34.0"
"Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(cc3)C(F)(F)F)C2)nnc1C1CCNC(=O)C1","1348.96"
"Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(cc3)C(F)(F)F)C2)nnc1-c1ccn(C)c(=O)c1","1862.09"
"CCCCc1cc(nc(n1)N1CCN(C)CC1)-c1ccoc1","37.0"
"CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc([C@H]2C1)c34","0.37"
"Cl.NC(N)=NC(=O)c1ccc-2c(c1)C(O)c1ccccc-21","1000.0"
"CN1CCN(CCCNC(=O)c2ccc3N(CCc3c2)C(C)=O)CC1","10000.0"
"COc1cc2CCN(CCCCNC(=O)c3ccc(cc3)-c3ccccc3)Cc2cc1O","800.0"
"Clc1cccc(N2CCN(CCCCCN3C(=O)c4ccccc4S3(=O)=O)CC2)c1Cl","17.0"
