KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_4380,0,0,0,0,0,O=C1CC(N2CCNCC2)C(=O)N1c3ccccc3
KLEK_4381,0,0,0,0,0,O=C1CC(N2CCOCC2)C(=O)N1c3ccccc3
KLEK_4382,0,0,0,0,0,O=c1cc[nH]c(=O)[nH]1
KLEK_4383,16,2,7,6,0,O=c1cc[nH]cn1
KLEK_4384,0,0,0,0,0,O=c1cc[nH]n1c2ccccc2
KLEK_4385,0,0,0,0,0,O=C1CC=NN1c2ccccc2
KLEK_4386,47,35,0,24,1,O=C1Cc2ccccc2N1
KLEK_4387,25,15,0,4,0,O=C1CCC(=O)N1
KLEK_4388,0,0,0,0,0,O=C1CCC(=O)N1c2cccc3ccccc23
KLEK_4389,0,0,0,0,0,O=C1CCC(=O)N1c2ccccc2
KLEK_4390,0,0,0,0,0,O=C1CCC(O1)c2ccccc2
KLEK_4391,0,0,0,0,0,O=c1ccc2c(c3ccccc3)c4ccccc4oc2c1
KLEK_4392,3,0,6,20,0,O=c1ccc2ccccc2[nH]1
KLEK_4393,25,0,0,21,1,O=c1ccc2ccccc2o1
KLEK_4394,0,0,0,0,0,O=c1ccc2ccccc2s1
KLEK_4395,0,0,0,0,0,O=C1CCCC(=O)C1
KLEK_4396,3,0,6,26,1,O=c1cccc[nH]1
KLEK_4397,0,0,0,0,0,O=C1CCCC=C1
KLEK_4398,3,0,0,0,1,O=C1CCCC1
KLEK_4399,1,0,0,1,0,O=C1CCCc2[nH]ncc12
KLEK_4400,0,0,0,0,0,O=C1CCCC2=C1C(C=CN2)c3ccccc3
KLEK_4401,0,0,0,0,0,O=C1CCCC2=C1C(C=CO2)c3ccccc3
KLEK_4402,0,0,0,0,0,O=C1CCCC2=C1C(Nc3ccc4ccccc4c23)c5ccccc5
KLEK_4403,0,0,0,0,0,O=C1CCCC2=C1C(Nc3ccc4ncccc4c23)c5ccccc5
KLEK_4404,0,0,0,0,0,O=C1CCCc2c1[nH]c3ccccc23
KLEK_4405,0,0,0,0,0,O=C1CCCc2ccsc12
KLEK_4406,0,0,0,0,0,O=C1CCCc2nc3ccccc3cc12
KLEK_4407,4,1,1,1,2,O=C1CCCCC1
KLEK_4408,0,0,0,0,0,O=C1CCCCCN1
KLEK_4409,25,0,0,21,1,O=c1cccco1
KLEK_4410,26,15,0,6,1,O=C1CCCN1
KLEK_4411,0,0,0,1,0,O=C1CCCN1c2ccccc2
KLEK_4412,1,0,0,3,0,O=C1CCCO1
KLEK_4413,0,0,0,0,0,O=c1ccn(C2CCCO2)c(=O)[nH]1
KLEK_4414,0,0,0,0,0,O=C1CCN2C(=C1)Nc3ccccc23
KLEK_4415,15,16,0,4,0,O=c1ccnc[nH]1
KLEK_4416,0,0,0,0,0,O=c1ccnc2ccccn12
KLEK_4417,13,7,0,0,0,O=c1ccoc2ccccc12
KLEK_4418,0,0,0,0,0,O=c1cn[nH]c(=O)[nH]1
KLEK_4419,0,0,0,0,0,O=c1cn[nH]c(=S)[nH]1
KLEK_4420,2,0,0,0,0,O=c1cnc2ccccc2[nH]1
KLEK_4421,2,0,0,0,0,O=C1CNc2ccccc2N1
KLEK_4422,0,0,0,0,0,O=C1CNCC(=O)N1
KLEK_4423,0,0,0,0,0,O=C1CSC(=S)N1
KLEK_4424,0,0,0,0,0,O=C1CSC(N1)c2ccccc2
KLEK_4425,0,0,0,0,0,O=C1CS(c2ccccc12)
KLEK_4426,0,0,0,0,0,O=C1CS(c2ccccc2N1)
KLEK_4427,0,0,0,0,0,O=C1N(C(=O)c2cccc3cccc1c23)c4ccccc4
KLEK_4428,0,0,0,0,0,O=C1N(C(=O)c2ccccc12)c3ccccc3
KLEK_4429,0,0,0,0,0,O=c1n(c2ccccc2)c(=O)c3cc4c(=O)n(c5ccccc5)c(=O)c4cc13
KLEK_4430,0,0,0,0,0,O=c1n(cnc2ccccc12)c3ccccc3
KLEK_4431,1,2,0,3,0,O=C1NC(=O)C=C1
KLEK_4432,0,0,0,0,0,O=C1NC(=O)C2(CCCCC2)N1
