KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_98,8,3,0,29,2,[!#1][CH]([CH3])C(=O)[!#1]
KLEK_99,0,0,0,0,0,[!#1][CH]([CH3])C(=O)[OH]
KLEK_100,0,0,0,0,0,[!#1][CH]([CH3])C(=O)O[CH2]C(=O)[!#1]
KLEK_101,2,34,0,3,0,[!#1][CH]([CH3])c1[cH][cH][cH][cH][cH]1
KLEK_102,7,3,0,14,0,[!#1][CH]([CH3])N([!#1])C(=O)[!#1]
KLEK_103,0,0,0,0,0,[!#1][CH]([NH]C(=O)[!#1])[NH]C(=O)[!#1]
KLEK_104,0,0,0,20,0,[!#1][CH]([NH]C(=O)[!#1])C(=O)[OH]
KLEK_105,0,0,0,0,0,[!#1][CH]([NH]C(=O)[!#1])C(Br)(Br)Br
KLEK_106,0,0,0,0,0,[!#1][CH]([NH]C(=O)[!#1])C(Cl)(Cl)Cl
KLEK_107,0,0,0,0,0,[!#1][CH]([NH]C(=O)[CH2][CH2][CH2][CH2][CH3])C(Cl)(Cl)Cl
KLEK_108,0,0,0,0,0,[!#1][CH]([NH]S(=O)(=O)[!#1])C(Cl)(Cl)Cl
KLEK_109,0,0,0,0,0,[!#1][CH]([NH2])[CH2][CH3]
KLEK_110,0,0,0,0,0,[!#1][CH]([NH2])[CH2]C(=O)[OH]
KLEK_111,2,1,0,0,0,[!#1][CH]([NH2])C(=O)[OH]
KLEK_112,0,0,0,0,0,[!#1][CH]([OH])[CH]([NH2])[CH2][OH]
KLEK_113,3,1,0,6,35,[!#1][CH]([OH])[CH2][NH]C(=O)[!#1]
KLEK_114,0,0,0,0,0,[!#1][CH]([OH])[CH2][NH2]
KLEK_115,0,0,0,0,0,[!#1][CH]([OH])[CH2][OH]
KLEK_116,0,0,0,0,0,[!#1][CH]([OH])C(=N[NH]C(=O)[!#1])[!#1]
KLEK_117,0,0,0,0,0,[!#1][CH]([OH])C(Cl)(Cl)Cl
KLEK_118,0,0,0,2,0,[!#1][CH]([OH])C(F)(F)F
KLEK_119,1,0,1,0,0,[!#1][CH]([OH])c1[cH][cH][cH][cH][cH]1
KLEK_120,0,0,0,0,0,[!#1][CH](C(=O)[CH3])C(=O)[CH3]
KLEK_121,0,0,0,0,0,[!#1][CH](C(=O)O[CH2][CH3])C(=O)O[CH2][CH3]
KLEK_122,0,0,0,0,0,[!#1][CH](C(=O)O[CH3])C(=O)O[CH3]
KLEK_123,0,0,0,0,0,[!#1][CH](F)C(F)(F)F
KLEK_124,0,0,0,0,0,[!#1][CH](F)OC(F)(F)F
KLEK_125,0,0,0,0,0,[!#1][CH](OC(=O)[CH3])OC(=O)[CH3]
KLEK_126,23,30,1,126,13,[!#1][CH]=[CH][!#1]
KLEK_127,0,0,0,0,0,[!#1][CH]=[CH][CH]([!#1])C([CH3])([CH3])[CH3]
KLEK_128,0,0,0,0,0,[!#1][CH]=[CH][CH]=C1SC(=S)N([!#1])C1=O
KLEK_129,0,0,0,0,0,[!#1][CH]=[CH][CH]=N[!#1]
KLEK_130,0,0,0,0,0,[!#1][CH]=[CH][CH]=N[NH]C(=O)[!#1]
KLEK_131,0,0,0,0,0,[!#1][CH]=[CH]C(=N[NH]C(=O)[!#1])[!#1]
KLEK_132,0,0,0,0,0,[!#1][CH]=[CH]C(=N[NH]C(=O)[!#1])[CH3]
KLEK_133,6,23,0,46,10,[!#1][CH]=[CH]C(=O)[!#1]
KLEK_134,0,0,0,0,0,[!#1][CH]=[CH]C(=O)[NH][NH]C(=O)[!#1]
KLEK_135,0,0,0,0,0,[!#1][CH]=[CH]C(=O)[NH]C(=S)[!#1]
KLEK_136,5,22,0,0,10,[!#1][CH]=[CH]C(=O)[OH]
KLEK_137,0,0,0,0,0,[!#1][CH]=[CH]N([!#1])[CH3]
KLEK_138,59,8,16,60,1,[!#1][CH]=[CH2]
KLEK_139,0,0,0,0,0,[!#1][CH]=C([NH]C(=O)[!#1])C(=O)[!#1]
KLEK_140,0,0,0,0,0,[!#1][CH]=C([NH]C(=O)[!#1])C(=O)[NH][CH2][CH2][CH2]N([CH3])[CH3]
KLEK_141,0,0,0,0,0,[!#1][CH]=C(C#N)C#N
KLEK_142,0,0,0,0,0,[!#1][CH]=C(C#N)C(=O)[NH2]
KLEK_143,0,0,0,0,0,[!#1][CH]=C(C#N)C(=O)O[CH2][CH3]
KLEK_144,0,0,0,0,0,[!#1][CH]=C(Cl)Cl
KLEK_145,0,0,0,0,0,[!#1][CH]=C1[CH2]N([!#1])[CH2]C(=[CH][!#1])C1=O
KLEK_146,0,0,0,0,0,[!#1][CH]=c1[nH]c(=O)c(=[CH][!#1])[nH]c1=O
KLEK_147,0,0,0,0,0,[!#1][CH]=C1C(=NN(C1=O)c2[cH][cH]c([!#1])[cH][cH]2)[!#1]
KLEK_148,0,0,0,0,0,[!#1][CH]=C1C(=O)[NH]C(=O)[NH]C1=O
KLEK_149,0,0,0,0,0,[!#1][CH]=C1C(=O)[NH]C(=O)N([!#1])C1=O
KLEK_150,0,0,0,0,0,[!#1][CH]=C1C(=O)[NH]C(=O)N(C1=O)c2[cH][cH][cH]c3[cH][cH][cH][cH]c23
KLEK_151,0,0,0,0,0,[!#1][CH]=C1C(=O)c2[cH][cH][cH][cH]c2C1=O
KLEK_152,0,0,0,0,0,[!#1][CH]=C1C(=O)N(N=C1c2[cH][cH][cH][cH][cH]2)c3[cH][cH]c([!#1])[cH][cH]3
KLEK_153,0,0,0,0,0,[!#1][CH]=C1C(=O)OC([!#1])([CH3])OC1=O
KLEK_154,0,0,0,0,0,[!#1][CH]=C1N=C(OC1=O)c2[cH][cH][cH][cH][cH]2
KLEK_155,0,0,0,0,0,[!#1][CH]=C1OC(=O)c2c1[cH]c([!#1])[nH]c2=O
KLEK_156,0,0,0,0,0,[!#1][CH]=C1SC(=N[!#1])[NH]C1=O
KLEK_157,0,0,0,0,0,[!#1][CH]=C1SC(=O)N([!#1])C1=O
KLEK_158,0,0,0,0,0,[!#1][CH]=C1SC(=S)[NH]C1=O
KLEK_159,0,0,0,0,0,[!#1][CH]=C1SC(=S)N([!#1])C1=O
KLEK_160,0,0,0,0,0,[!#1][CH]=C1SC(=S)N(C1=O)c2[cH][cH]c([!#1])[cH][cH]2
KLEK_161,5,0,0,36,0,[!#1][CH]=N[!#1]
KLEK_162,0,0,0,0,0,[!#1][CH]=N[CH]([!#1])[CH3]
KLEK_163,0,0,0,0,0,[!#1][CH]=N[CH2][CH2][CH2][CH2][CH2][CH2]N=[CH][!#1]
KLEK_164,0,0,0,0,0,[!#1][CH]=N[CH2][CH2][NH]C(=O)[!#1]
KLEK_165,0,0,0,0,0,[!#1][CH]=N[CH2][CH2]N=[CH][!#1]
KLEK_166,0,0,0,0,0,[!#1][CH]=N[NH]C(=[NH])[NH][N+](=O)[O-]
KLEK_167,2,0,0,0,0,[!#1][CH]=N[NH]C(=[NH])[NH2]
KLEK_168,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)[!#1]
KLEK_169,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)[CH]([!#1])[CH3]
KLEK_170,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)[CH]([!#1])[NH]C(=O)[!#1]
KLEK_171,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)[CH]([!#1])[OH]
KLEK_172,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH]([CH3])[OH]
KLEK_173,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]
KLEK_174,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)[CH2][CH2][CH2][CH2][CH3]
KLEK_175,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)[CH2][NH]C(=O)[!#1]
KLEK_176,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)[CH2][OH]
KLEK_177,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)[CH2]C(=O)[NH]N=[CH][!#1]
KLEK_178,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)[NH2]
KLEK_179,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)C(=O)[NH]N=[CH][!#1]
KLEK_180,0,0,0,0,0,[!#1][CH]=N[NH]C(=O)O[CH2][CH3]
KLEK_181,0,0,0,0,0,[!#1][CH]=N[NH]C(=S)[NH2]
KLEK_182,0,0,0,0,0,[!#1][CH]=N[NH]C(=S)S[CH3]
