SMILES,Ki,Klek
CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA130>
CCOC(=O)C1=C(COCCN)NC(C)=C(C1c1ccccc1Cl)C(=O)OC,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA180>
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)c1c(O)cccc1[C@@]3(C)O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA040>
CNC(NCCSCc1csc(CN(C)C)n1)=C[N+]([O-])=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA090>
Oc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA1D0>
Cl.CNCC(O)COc1ccc(cc1)S(=O)(=O)NC(C)C(C)C,30199.52,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA220>
CC[C@H]1c2cc(OC)ccc2CC[C@@]1(C)N,5011.87,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA270>
COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c1ccc(F)cc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA2C0>
NC(=O)c1cnccn1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA310>
CNCCCN1c2ccccc2CCc2ccccc12,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA360>
OC[C@H]1O[C@H](C[C@@H]1O)n1cc(I)c(=O)[nH]c1=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA3B0>
COc1cc(CC2NCCc3cc(O)c(O)cc23)cc(OC)c1OC,43.65,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA400>
CC(C)NC[C@@H](O)COc1ccc(O)c(O)c1,420.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA450>
COc1cc(CCNC[C@H](O)COc2ccc(O)c(O)c2)ccc1OCCCc1ccccc1,7.2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA4A0>
Clc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA4F0>
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](O)[C@@H]2O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA590>
C(N1C2CCC1CC2)c1cccnc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA5E0>
CC(C)(C)c1ccc(cc1)C(=O)CCCN1CCC(CC1)OC(c1ccccc1)c1ccccc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA630>
[Cl-].C[N+](C)(C)CCO,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA680>
COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA6D0>
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA720>
CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(C)=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA7C0>
C[C@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(O)cc(O)c1,10330.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA770>
COc1cccc(C[C@H](C)NC[C@@H](O)c2cc(O)cc(O)c2)c1,15881.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA810>
Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cnc2n1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA860>
CN1CCC2(COc3cc4CCN(C(=O)c5ccc(cc5)-c5ccc(cc5C)-c5noc(C)n5)c4cc23)CC1,1000.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA8B0>
CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA950>
C[C@@H](Cc1cccc(N)c1)NC[C@H](O)c1cc(O)cc(O)c1,6035.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA9A0>
ClCCNP1(=O)OCCCN1CCCl,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA900>
ClC(Cl)=C,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CA9F0>
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAA40>
Cc1ccc(cc1)N(CC1=NCCN1)c1cccc(O)c1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAA90>
Brc1c(NC2=NCCN2)ccc2nccnc12,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAAE0>
CC(C)NCC(O)c1ccc(O)c(O)c1,676.08,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAB30>
C[S+]([O-])c1ccc(C=C2C(C)=C(CC(O)=O)c3cc(F)ccc23)cc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAB80>
CCCCCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,160.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CABD0>
OC(COc1cccc2[nH]c3ccccc3c12)CN1CCC(CC1)N1C(=O)c2cccc3cccc(C1=O)c23,57.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAC20>
COc1ccc(cc1O)[C@@H](Cc1ccccc1)NC[C@@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1,1070.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAC70>
COc1ccc(cc1OC)[C@@H](Cc1ccccc1)NC[C@@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1,66.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAD60>
CN1CCC(CC1)NCC(O)COc1ccccc1CC=C,2.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAD10>
Clc1ccc(cc1)N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1,100000.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CACC0>
O[C@@H](CNCCc1ccc(Oc2ccccc2)cc1)c1ccc(O)c(NC=O)c1,35.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CADB0>
C[C@H](Cc1c[nH]c2c(OCC(O)=O)cccc12)NC[C@H](O)c1cccc(NS(=O)(=O)c2cccs2)c1,160.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAE00>
CC(C)NC[C@H](O)COc1ccccc1CC=C,0.9333,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAEA0>
OCc1cc(ccc1O)C(O)CNCCc1ccc(Nc2ccc3ccccc3c2)cc1,316.23,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAEF0>
NC[C@H](O)c1ccc(O)c(O)c1F,2000000.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658CAF40>
