D2 geenrated ligands docking res;D2 chembl ligands;dd2 random zinc docking score
-6.646;-8.322;-6.486
-6.645;-8.322;-6.483
-6.641;-8.32;-6.478
-6.64;-8.32;-6.477
-6.639;-8.318;-6.473
-6.631;-8.318;-6.471
-6.63;-8.317;-6.47
-6.627;-8.309;-6.467
-6.625;-8.309;-6.459
-6.623;-8.306;-6.449
-6.62;-8.302;-6.448
-6.616;-8.299;-6.447
-6.612;-8.295;-6.443
-6.612;-8.295;-6.441
-6.609;-8.295;-6.435
-6.607;-8.295;-6.434
-6.605;-8.295;-6.426
-6.603;-8.293;-6.422
-6.602;-8.292;-6.417
-6.601;-8.289;-6.414
-6.599;-8.287;-6.413
-6.598;-8.286;-6.413
-6.596;-8.286;-6.409
-6.59;-8.283;-6.407
-6.59;-8.277;-6.405
-6.589;-8.277;-6.404
-6.589;-8.275;-6.404
-6.588;-8.275;-6.402
-6.587;-8.275;-6.4
-6.584;-8.273;-6.397
-6.582;-8.271;-6.391
-6.58;-8.268;-6.388
-6.578;-8.267;-6.386
-6.577;-8.267;-6.386
-6.567;-8.265;-6.384
-6.557;-8.264;-6.383
-6.556;-8.264;-6.381
-6.555;-8.263;-6.378
-6.553;-8.263;-6.377
-6.548;-8.262;-6.377
-6.548;-8.262;-6.374
-6.546;-8.26;-6.372
-6.539;-8.258;-6.369
-6.536;-8.254;-6.364
-6.535;-8.254;-6.363
-6.534;-8.25;-6.36
-6.533;-8.25;-6.359
-6.527;-8.25;-6.359
-6.519;-8.24;-6.358
-6.513;-8.24;-6.357
-6.508;-8.239;-6.357
-6.507;-8.236;-6.346
-6.507;-8.235;-6.342
-6.506;-8.234;-6.34
-6.505;-8.234;-6.335
-6.501;-8.234;-6.332
-6.499;-8.233;-6.332
-6.497;-8.223;-6.325
-6.497;-8.222;-6.318
-6.492;-8.215;-6.317
-6.491;-8.214;-6.316
-6.485;-8.213;-6.313
-6.484;-8.213;-6.313
-6.481;-8.213;-6.308
-6.479;-8.213;-6.307
-6.479;-8.212;-6.301
-6.477;-8.212;-6.299
-6.477;-8.209;-6.295
-6.475;-8.208;-6.293
-6.471;-8.207;-6.287
-6.471;-8.206;-6.284
-6.47;-8.206;-6.284
-6.465;-8.205;-6.276
-6.463;-8.202;-6.276
-6.461;-8.202;-6.275
-6.458;-8.202;-6.275
-6.457;-8.199;-6.269
-6.452;-8.197;-6.262
-6.447;-8.196;-6.259
-6.44;-8.194;-6.256
-6.439;-8.193;-6.255
-6.437;-8.191;-6.255
-6.436;-8.191;-6.254
-6.431;-8.191;-6.254
-6.431;-8.189;-6.251
-6.429;-8.188;-6.249
-6.428;-8.185;-6.248
-6.427;-8.184;-6.247
-6.416;-8.184;-6.235
-6.412;-8.182;-6.232
-6.409;-8.182;-6.228
-6.408;-8.182;-6.227
-6.404;-8.182;-6.224
-6.404;-8.182;-6.222
-6.403;-8.181;-6.219
-6.401;-8.181;-6.214
-6.398;-8.18;-6.213
-6.39;-8.175;-6.21
-6.39;-8.173;-6.21
-6.387;-8.169;-6.206
-6.385;-8.169;-6.205
-6.378;-8.168;-6.202
-6.374;-8.168;-6.201
-6.373;-8.168;-6.197
-6.369;-8.167;-6.196
-6.364;-8.164;-6.195
-6.361;-8.163;-6.194
-6.358;-8.161;-6.187
-6.358;-8.16;-6.178
-6.357;-8.16;-6.168
-6.355;-8.157;-6.166
-6.342;-8.156;-6.166
-6.341;-8.156;-6.163
-6.339;-8.155;-6.157
-6.336;-8.154;-6.157
-6.336;-8.153;-6.156
-6.335;-8.153;-6.156
-6.331;-8.153;-6.156
-6.331;-8.153;-6.151
-6.33;-8.152;-6.146
-6.329;-8.151;-6.145
-6.328;-8.151;-6.144
-6.323;-8.15;-6.14
-6.321;-8.15;-6.139
-6.317;-8.15;-6.138
-6.313;-8.15;-6.138
-6.311;-8.148;-6.138
-6.309;-8.147;-6.134
-6.308;-8.147;-6.133
-6.308;-8.147;-6.132
-6.306;-8.147;-6.123
-6.303;-8.147;-6.121
-6.303;-8.146;-6.121
-6.298;-8.146;-6.111
-6.297;-8.145;-6.111
-6.296;-8.145;-6.11
-6.294;-8.145;-6.101
-6.293;-8.145;-6.1
-6.292;-8.145;-6.098
-6.292;-8.143;-6.096
-6.289;-8.142;-6.092
-6.288;-8.142;-6.091
-6.287;-8.141;-6.088
-6.287;-8.141;-6.088
-6.283;-8.14;-6.088
-6.282;-8.139;-6.087
-6.281;-8.138;-6.083
-6.281;-8.136;-6.082
-6.279;-8.131;-6.082
-6.276;-8.131;-6.08
-6.276;-8.13;-6.07
-6.274;-8.129;-6.068
-6.272;-8.129;-6.063
